"name","scaledubiquitybruv","n_BRUV","indi_BRUV","scaledubiquityboss","n_BOSS","indi_BOSS","armean"
"Acanthurus olivaceus",0.0769230769230769,1,4,0,0,NA,2.08405795097351
"Acanthurus xanthopterus",0.0769230769230769,1,4,0,0,NA,1.99968997637431
"Anampses caeruleopunctatus",0.0769230769230769,1,1,0,0,NA,1.54439997673035
"Anampses geographicus",0.153846153846154,2,5,-0.444444444444444,8,13,1.54083997011185
"Apolemichthys trimaculatus",0,0,NA,-0.0555555555555556,1,1,2.1448450088501
"Bodianus bilunulatus",0.153846153846154,2,4,0,0,NA,1.53383499383926
"Bodianus vulpinus",0.0769230769230769,1,1,0,0,NA,1.34079498052597
"Carangoides fulvoguttatus",0.0769230769230769,1,1,0,0,NA,4.77175498008728
"Carcharhinus plumbeus",0.153846153846154,2,2,0,0,NA,3.17827498912811
"Chaetodon assarius",0.384615384615385,5,9,-0.222222222222222,4,8,2.87667989730835
"Chaetodon auriga",0.0769230769230769,1,2,0,0,NA,2.42989993095398
"Chaetodon lunula",0.0769230769230769,1,2,0,0,NA,2.38274002075195
"Chaetodontoplus personifer",0.153846153846154,2,4,-0.0555555555555556,1,2,1.81692004203796
"Chrysophrys auratus",0.846153846153846,11,73,-0.166666666666667,3,5,3.30380010604858
"Coris auricularis",1,13,571,-1,18,207,1.43893003463745
"Coris caudimacula",0.0769230769230769,1,1,-0.222222222222222,4,6,1.17453002929688
"Echeneis naucrates",0.0769230769230769,1,1,0,0,NA,1.53934001922607
"Epinephelus rivulatus",0.230769230769231,3,3,-0.0555555555555556,1,1,1.33246248960495
"Galeocerdo cuvier",0.0769230769230769,1,1,0,0,NA,1.38594397902489
"Glaucosoma hebraicum",0,0,NA,-0.0555555555555556,1,1,1.48939001560211
"Labroides dimidiatus",0.307692307692308,4,8,-0.0555555555555556,1,1,1.07647001743317
"Lagocephalus sceleratus",0.384615384615385,5,9,0,0,NA,1.8027800321579
"Lethrinus miniatus",0.846153846153846,11,46,-0.611111111111111,11,42,2.12179505825043
"Lethrinus nebulosus",0.769230769230769,10,25,-0.0555555555555556,1,1,1.83706504106522
"Lethrinus ravus",0.0769230769230769,1,4,0,0,NA,1.78229999542236
"Neatypus obliquus",0,0,NA,-0.0555555555555556,1,40,1.31579005718231
"Nelusetta ayraud",0.153846153846154,2,2,0,0,NA,2.65024995803833
"Netuma thalassina",0.0769230769230769,1,1,0,0,NA,2.64145505428314
"Notolabrus parilus",0,0,NA,-0.0555555555555556,1,1,1.83448994159698
"Ostorhinchus angustatus",0.0769230769230769,1,1,0,0,NA,1.46783500909805
"Paracirrhites forsteri",0.153846153846154,2,2,-0.0555555555555556,1,2,1.15489000082016
"Parapercis haackei",0.0769230769230769,1,1,0,0,NA,0.919961988925934
"Parapercis nebulosa",0.153846153846154,2,2,0,0,NA,1.57743000984192
"Parupeneus chrysopleuron",0,0,NA,-0.111111111111111,2,4,1.07956004142761
"Parupeneus spilurus",0.769230769230769,10,29,-0.444444444444444,8,24,1.81445002555847
"Pempheris klunzingeri",0,0,NA,-0.0555555555555556,1,2,2.59348011016846
"Pentapodus nagasakiensis",0.0769230769230769,1,3,-0.222222222222222,4,12,1.78991001844406
"Pentapodus nagasakiensis",0.307692307692308,4,12,-0.222222222222222,4,12,1.78991001844406
"Pomacanthus semicirculatus",0.0769230769230769,1,1,0,0,NA,1.98792999982834
"Pseudojuloides elongatus",0,0,NA,-0.0555555555555556,1,1,1.39719998836517
"Scarus chameleon",0,0,NA,-0.0555555555555556,1,2,1.53753995895386
"Scarus ghobban",0.0769230769230769,1,5,0,0,NA,1.7747700214386
"Seriola dumerili",0.230769230769231,3,7,0,0,NA,2.83157002925873
"Seriola hippos",0.769230769230769,10,12,-0.111111111111111,2,4,3.1838800907135
"Siganus argenteus",0.0769230769230769,1,5,0,0,NA,3.82368993759155
"Siganus punctatus",0.0769230769230769,1,2,0,0,NA,2.90688991546631
"Sphyrna lewini",0.0769230769230769,1,1,0,0,NA,1.808090031147
"Suezichthys cyanolaemus",0.692307692307692,9,18,-0.777777777777778,14,22,1.46160995960236
"Thalassoma lutescens",0.0769230769230769,1,2,0,0,NA,1.57644999027252
"Zanclus cornutus",0.0769230769230769,1,2,0,0,NA,2.26680338382721
