"family","genus","species","n","totalfish"
"Apogonidae","Ostorhinchus","aureus",1,1
"Apogonidae","Ostorhinchus","semilineatus",2,130
"Balistidae","Sufflamen","fraenatum",2,2
"Balistidae","Unknown","spp",1,1
"Balistidae","Xanthichthys","lineopunctatus",4,4
"Caesionidae","Pterocaesio","chrysozona",1,2
"Carangidae","Carangoides","caeruleopinnatus",1,1
"Carangidae","Carangoides","chrysophrys",2,2
"Carangidae","Carangoides","fulvoguttatus",1,1
"Carangidae","Carangoides","gymnostethus",1,46
"Carangidae","Carangoides","spp",6,9
"Carangidae","Decapterus","muroadsi",5,64
"Carangidae","Gnathanodon","speciosus",1,52
"Carangidae","Pseudocaranx","spp",2,2
"Carangidae","Seriola","spp",1,1
"Carangidae","Unknown","spp",1,1
"Carcharhinidae","Carcharhinus","albimarginatus",2,3
"Carcharhinidae","Carcharhinus","plumbeus",1,1
"Carcharhinidae","Carcharhinus","spp",2,2
"Chaetodontidae","Chaetodon","assarius",3,3
"Chaetodontidae","Heniochus","acuminatus",7,16
"Chaetodontidae","Heniochus","spp",1,2
"Cirrhitidae","Cyprinocirrhites","polyactis",5,11
"Clupeidae","Unknown","spp",1,100
"Echeneidae","Echeneis","naucrates",1,1
"Gobiidae","Unknown","spp",2,2
"Holocentridae","Sargocentron","rubrum",1,27
"Holocentridae","Sargocentron","spp",2,2
"Labridae","Bodianus","bilunulatus",1,1
"Labridae","Bodianus","solatus",3,6
"Labridae","Coris","caudimacula",2,2
"Labridae","Labroides","dimidiatus",5,5
"Labridae","Suezichthys","cyanolaemus",1,1
"Lethrinidae","Gymnocranius","sp1",8,21
"Lethrinidae","Lethrinus","miniatus",10,11
"Lethrinidae","Lethrinus","ravus",1,1
"Lethrinidae","Lethrinus","rubrioperculatus",2,3
"Lethrinidae","Unknown","spp",1,1
"Lutjanidae","Aphareus","rutilans",2,2
"Lutjanidae","Lutjanus","lemniscatus",1,1
"Lutjanidae","Lutjanus","sebae",7,8
"Lutjanidae","Pristipomoides","sp1",3,10
"Lutjanidae","Pristipomoides","spp",1,1
"Microdesmidae","Ptereleotris","heteroptera",1,2
"Monacanthidae","Unknown","spp",1,1
"Mullidae","Parupeneus","cyclostomus",1,4
"Mullidae","Parupeneus","spilurus",1,2
"Mullidae","Unknown","spp",1,1
"Nemipteridae","Pentapodus","nagasakiensis",8,14
"Nemipteridae","Unknown","spp",1,3
"Ostraciidae","Unknown","spp",1,1
"Pinguipedidae","Parapercis","nebulosa",31,44
"Pomacanthidae","Chaetodontoplus","spp",1,1
"Pomacanthidae","Pomacanthus","semicirculatus",3,3
"Pomacentridae","Amblypomacentrus","breviceps",1,1
"Priacanthidae","Priacanthus","hamrur",1,1
"Priacanthidae","Priacanthus","spp",4,4
"SUS","SUS","sus",27,2060
"Scombridae","Scomberomorus","spp",1,2
"Serranidae","Cephalopholis","sonnerati",3,4
"Serranidae","Epinephelus","areolatus",2,2
"Serranidae","Epinephelus","multinotatus",1,1
"Serranidae","Epinephelus","spp",1,1
"Serranidae","Plectropomus","spp",1,2
"Serranidae","Pseudanthias","fasciatus",2,7
"Serranidae","Pseudanthias","spp",4,24
"Serranidae","Unknown","spp",1,1
"Sparidae","Dentex","carpenteri",2,3
"Triakidae","Unknown","spp",1,1
